name,court_type,
Marino 1,"Basketball, Volleyball, Badminton, Roller Hockey, Futsal Courts",
Marino 2,"Basketball, Volleyball, Badminton, Roller Hockey, Futsal Courts",
Marino 3,"Basketball, Volleyball, Badminton, Roller Hockey, Futsal Courts",
Cabot Racquetball/Wallyball 1,"RacquetBall, WallyBall",
Cabot Racquetball/Wallyball 2,"RacquetBall, WallyBall",
Cabot SoccerField,Soccer,
SquashBusters 1,Squash,
SquashBusters 2,Squash,
SquashBusters 3,Squash,
SquashBusters 4,Squash,
SquashBusters 5,Squash,
SquashBusters 6,Squash,
SquashBusters 7,Squash,
SquashBusters 8,Squash,
